auto_id;id_csv;id;devEui;temperature;humidity;pressure;pm1_0;pm2_5;pm10;so2;o3;co;no2;noise_level;createdDateTime;pm2_5_aqi;pm10_aqi;so2_aqi;o3_aqi;co_aqi;no2_aqi;aqi;primary_pollutant;customer_tz_createdDateTime
709067;0;1275383;4417935af3905f62;26.32;73;943;3;5;5;0;0.04;0;0;66;2023-08-12 5:57:36;21;5;0;0;0;0;21;pm2_5;2023-08-11 22:57:36
709068;0;1275385;44179354c7c83489;24.19;83;932;3;5;5;0;0.01;0;0;56;2023-08-12 5:58:03;21;5;0;0;0;0;21;pm2_5;2023-08-11 22:58:03
709069;0;1275387;44179354c798205a;26.94;70;949;1;2;2;0;0.01;0;0;63;2023-08-12 5:58:50;8;2;0;0;0;0;8;pm2_5;2023-08-11 22:58:50
709070;0;1275380;4417935aff00388d;26.82;65;940;17;15;23;0;0.01;0;0;61;2023-08-12 5:56:04;57;21;0;0;0;0;57;pm2_5;2023-08-11 22:56:04
709071;0;1275386;44179354c7782e90;26.27;70;945;2;3;3;0;0.01;0;0;57;2023-08-12 5:58:37;13;3;0;0;0;0;13;pm2_5;2023-08-11 22:58:37
709072;0;1275384;4417935b01081c59;24.87;84;937;4;5;6;0;0.01;66;0;56;2023-08-12 5:57:40;21;6;0;0;500;0;500;co;2023-08-11 22:57:40
709073;0;1275379;4417935b00b83a53;27.48;64;944;9;8;12;11.3;0.01;0;0;69;2023-08-12 5:55:14;33;11;500;0;0;0;500;so2;2023-08-11 22:55:14
709074;0;1275381;4417935af40cae86;27.12;62;986;3;3;5;0;0.01;0;0;59;2023-08-12 5:56:07;13;5;0;0;0;0;13;pm2_5;2023-08-11 22:56:07
709075;0;1275382;4417935af5e4505d;27.21;63;981;0;1;1;0;0.01;0;0;58;2023-08-12 5:56:42;4;1;0;0;0;0;4;pm2_5;2023-08-11 22:56:42
709076;0;1275388;4417935af3d82f50;27.12;66;985;3;4;5;0.7;0.02;0;0;65;2023-08-12 5:59:13;17;5;348;0;0;0;348;so2;2023-08-11 22:59:13
709077;0;1275404;4417935af3905f62;26.32;73;943;3;4;5;0;0.04;0;0;60;2023-08-12 6:08:02;17;5;0;0;0;0;17;pm2_5;2023-08-11 23:08:02
709078;0;1275405;44179354c7c83489;24.19;83;932;4;6;6;0;0.01;0;0;55;2023-08-12 6:08:14;25;6;0;0;0;0;25;pm2_5;2023-08-11 23:08:14
709079;0;1275407;44179354c798205a;26.93;70;949;1;2;2;0;0.01;0;0;64;2023-08-12 6:08:40;8;2;0;0;0;0;8;pm2_5;2023-08-11 23:08:40
709080;0;1275401;4417935aff00388d;26.89;66;940;12;12;16;0;0.01;0;0;71;2023-08-12 6:06:11;50;15;0;0;0;0;50;pm2_5;2023-08-11 23:06:11
709081;0;1275406;44179354c7782e90;26.3;70;945;1;2;2;0;0.01;0;0;58;2023-08-12 6:08:40;8;2;0;0;0;0;8;pm2_5;2023-08-11 23:08:40
709082;0;1275403;4417935b01081c59;24.96;83;938;3;5;5;0;0.01;66;0;56;2023-08-12 6:07:56;21;5;0;0;500;0;500;co;2023-08-11 23:07:56
709083;0;1275399;4417935b00b83a53;27.48;64;944;16;17;22;10.3;0.01;0;0;69;2023-08-12 6:04:54;61;20;500;0;0;0;500;so2;2023-08-11 23:04:54
709084;0;1275400;4417935af40cae86;26.94;65;986;3;4;4;0;0.02;0;0;57;2023-08-12 6:06:05;17;4;0;0;0;0;17;pm2_5;2023-08-11 23:06:05
